text,tokens,token_ids
H,['H'],[39]
He,['He'],[1544]
Hel,['Hel'],[12621]
Hell,['Hell'],[28254]
Hello,['Hello'],[15496]
"Hello,","['Hello', ',']","[15496, 11]"
"Hello, ","['Hello', ',', 'Ġ']","[15496, 11, 220]"
"Hello, h","['Hello', ',', 'Ġh']","[15496, 11, 289]"
"Hello, ho","['Hello', ',', 'Ġho']","[15496, 11, 8169]"
"Hello, how","['Hello', ',', 'Ġhow']","[15496, 11, 703]"
"Hello, how ","['Hello', ',', 'Ġhow', 'Ġ']","[15496, 11, 703, 220]"
"Hello, how a","['Hello', ',', 'Ġhow', 'Ġa']","[15496, 11, 703, 257]"
"Hello, how ar","['Hello', ',', 'Ġhow', 'Ġar']","[15496, 11, 703, 610]"
"Hello, how are","['Hello', ',', 'Ġhow', 'Ġare']","[15496, 11, 703, 389]"
"Hello, how are ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġ']","[15496, 11, 703, 389, 220]"
"Hello, how are y","['Hello', ',', 'Ġhow', 'Ġare', 'Ġy']","[15496, 11, 703, 389, 331]"
"Hello, how are yo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyo']","[15496, 11, 703, 389, 27406]"
"Hello, how are you","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou']","[15496, 11, 703, 389, 345]"
"Hello, how are you ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġ']","[15496, 11, 703, 389, 345, 220]"
"Hello, how are you d","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġd']","[15496, 11, 703, 389, 345, 288]"
"Hello, how are you do","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdo']","[15496, 11, 703, 389, 345, 466]"
"Hello, how are you doi","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoi']","[15496, 11, 703, 389, 345, 23899]"
"Hello, how are you doin","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdo', 'in']","[15496, 11, 703, 389, 345, 466, 259]"
"Hello, how are you doing","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing']","[15496, 11, 703, 389, 345, 1804]"
"Hello, how are you doing ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 220]"
"Hello, how are you doing t","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġt']","[15496, 11, 703, 389, 345, 1804, 256]"
"Hello, how are you doing to","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġto']","[15496, 11, 703, 389, 345, 1804, 284]"
"Hello, how are you doing tod","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġto', 'd']","[15496, 11, 703, 389, 345, 1804, 284, 67]"
"Hello, how are you doing toda","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġto', 'da']","[15496, 11, 703, 389, 345, 1804, 284, 6814]"
"Hello, how are you doing today","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday']","[15496, 11, 703, 389, 345, 1804, 1909]"
"Hello, how are you doing today?","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?']","[15496, 11, 703, 389, 345, 1804, 1909, 30]"
"Hello, how are you doing today? ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 220]"
"Hello, how are you doing today? I","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314]"
"Hello, how are you doing today? I ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 220]"
"Hello, how are you doing today? I w","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġw']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 266]"
"Hello, how are you doing today? I wa","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwa']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 2082]"
"Hello, how are you doing today? I was","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373]"
